#PATH-POINTS-START Path
138.282,34.13,120,270
136.334,33.677,120
134.383,33.238,120
132.428,32.813,120
130.471,32.404,120
128.51,32.011,120
126.545,31.635,120
124.578,31.277,120
122.607,30.938,120
120.632,30.62,120
118.654,30.325,120
116.673,30.052,120
114.688,29.803,120
112.701,29.582,120
110.71,29.389,120
108.717,29.226,120
106.721,29.095,120
104.723,29.001,120
102.724,28.941,120
100.724,28.926,120
98.724,28.95,120
96.726,29.025,120
94.73,29.148,120
92.738,29.327,120
90.752,29.566,120
88.775,29.867,120
86.809,30.235,120
84.86,30.681,120
82.93,31.204,120
81.024,31.811,120
79.149,32.506,120
77.311,33.293,120
75.517,34.177,120
73.775,35.158,120
72.093,36.239,120
70.477,37.417,120
68.935,38.69,120
67.473,40.055,120
66.096,41.504,120
64.807,43.033,120
63.607,44.633,120
62.495,46.295,120
61.47,48.012,120
60.53,49.777,120
59.67,51.583,120
58.889,53.424,120
58.18,55.294,120
57.538,57.188,120
56.959,59.102,120
56.441,61.033,120
55.978,62.979,120
55.565,64.936,120
55.202,66.903,120
54.882,68.877,120
54.604,70.857,120
54.363,72.843,120
54.159,74.832,120
53.986,76.825,120
53.848,78.82,120
53.737,80.817,120
53.652,82.815,120
53.595,84.814,120
53.56,86.814,120
53.546,88.814,120,0
55.252,89.638,120
57.12,90.353,120
58.986,91.072,120
60.851,91.795,120
62.714,92.522,120
64.575,93.253,120
66.435,93.988,120
68.293,94.729,120
70.149,95.473,120
72.004,96.223,120
73.856,96.978,120
75.705,97.738,120
77.553,98.504,120
79.399,99.275,120
81.241,100.052,120
83.082,100.836,120
84.919,101.625,120
86.754,102.422,120
88.585,103.226,120
90.413,104.036,120
92.238,104.856,120
94.059,105.683,120
95.875,106.52,120
97.688,107.365,120
99.495,108.221,120
101.298,109.088,120
103.094,109.967,120
104.884,110.858,120
106.668,111.764,120
108.443,112.685,120
110.209,113.624,120
111.964,114.582,120
113.707,115.564,120
115.434,116.572,120
117.141,117.614,120
118.82,118.701,120
120.453,119.855,120
121.811,121.165,120
120.649,120.335,120,90
